,titulo,artista,letras
20,Ressaca de Saudade,Wesley Safadão," Visualizei, mas não vou responder. Da minha boca não vai ouvir nada. Até que eu tinha coisas pra falar. Mas vou tomar vergonha nessa cara. Você não vale a consideração. Nenhuma lágrima minha vai ver. Vai ser difícil ter o meu perdão. Meu coração não pertence a você. Da minha vida você não merece saber. Mas se o seu telefone tocar. Lá pras três ou quatro da manhã. Eu não voltei atrás. Eu já bebi demais. Faça o que sempre fez. Não me atenda nenhuma vez. Mas se o seu telefone tocar. Lá pras três ou quatro da manhã. Eu não voltei atrás. Eu já bebi demais. Faça o que sempre fez. Não me atenda nenhuma vez.  "
21,Nunca Vai Ser Eu,Saia Rodada," Seu olhar não nega quando a gente se encontra. Você de cabeça se entrega sem querer. Sempre não fala nada, mas eu sei que quer conversa. Se quer saber então vou te dizer. Você tá beijando uma boca que não é sua. Tá abraçando um corpo que nunca foi seu. Ele tá te iludindo só pra te ter toda nua. Mas a verdade é que você nunca me esqueceu. Ele tá no meu lugar mas nunca vai ser eu. Ele tá no meu lugar mas nunca vai ser eu. Ele tá no meu lugar mas nunca vai ser eu. Porque seu coração é meu.  "
22,O Cara Errado,Wesley Safadão," Eu sei que você quer alguém. Pra apresentar pros pais. Postar uma foto junto nas suas redes sociais. Viajar fim de semana. Combinar os pijamas. Beber no mesmo copo. Comer no mesmo prato. Desculpa, eu sou o cara errado. Eu não nasci pra ser mozão. Nasci pra ser contatinho. Meu coração só é feliz sozinho. Eu não nasci pra se mozão. Nasci pra ser contatinho. Não quero te levar pro mal caminho. Eu não nasci pra ser mozão. Nasci pra ser contatinho. Meu coração só é feliz sozinho. Eu não nasci pra se mozão. Nasci pra ser contatinho. Não quero te levar pro mal caminho.  "
23,Sou Eu,Wesley Safadão," Quem é que faz gostoso. Põe álcool no seu fogo. Que só de lembrar a sua cama já tremeu. Quem é. Sou eu, sou eu. Sou eu, sou eu. Assume que cê nunca me esqueceu. Quem é que faz gostoso. Põe álcool no seu fogo. Que só de lembrar a sua cama já tremeu. Quem é. Sou eu, sou eu. Sou eu, sou eu. Assume que cê nunca me esqueceu. Sou eu, sou eu. Sou eu, sou eu. Assume que cê nunca me esqueceu. Tô vendo pela rede social. Que o casalzinho é bom de foto (ai, ai, ai). É cada legendinha apaixonada. Vai, me engana aí, que eu gosto (ai, ai, ai). Mas não tá com cara que na hora H. Ele faz direito, deu pra perceber. Se agora que ele chegou no ponto G. Eu já fui e voltei de A a Z. Quem é que faz gostoso. Põe álcool no seu fogo. Que só de lembrar a sua cama já tremeu. Quem é. Sou eu, sou eu. Sou eu, sou eu. Assume que cê nunca me esqueceu. Quem é que faz gostoso. Põe álcool no seu fogo. Que só de lembrar a sua cama já tremeu. Quem é. Sou eu, sou eu. Sou eu, sou eu. Assume que cê nunca me esqueceu. Sou eu, sou eu. Sou eu, sou eu. Assume que cê nunca me esqueceu. Tô vendo pela rede social. Que o casalzinho é bom de foto (ai, ai, ai). É cada legendinha apaixonada. Vai, me engana aí, que eu gosto (ai, ai, ai). Mas não tá com cara que na hora H. Ele faz direito, deu pra perceber. Se agora que ele chegou no ponto G. Eu já fui e voltei de A a Z. Quem é que faz gostoso. Põe álcool no seu fogo. Que só de lembrar a sua cama já tremeu. Quem é. Sou eu, sou eu. Sou eu, sou eu. Assume que cê nunca me esqueceu. Quem é que faz gostoso. Põe álcool no seu fogo. Que só de lembrar a sua cama já tremeu. Quem é. Sou eu, sou eu. Sou eu, sou eu. Assume que cê nunca me esqueceu. Sou eu, sou eu. Sou eu, sou eu. Assume que cê nunca me esqueceu.  "
24,Que Amizade É Essa? (part. Maiara e Maraisa),Mano Walter," Tá ficando incontrolável não segurar sua mão. Tá ficando insurpotável essa situação. Você finge que não quer, na frente dos outros. Ai eu chego junto cê não nega fogo. Chega ser até covarde da sua parte. Confundir amor com amizade. Que amizade é essa. Que tem beijo na boca. Tem cobrança e tem ciúme. Vê se cria vergonha e dessa vez assume. Que é amor, que é amor. Que amizade é essa. Que tem beijo na boca. Tem cobrança e tem ciúme. Vê se cria vergonha e dessa vez assume. Que é amor, que é amor. Quero ver se tem coragem. De dizer bem alto. Que é amor, que é amor. Me assume pra cidade que o resto eu faço.  "
25,Notificação Preferida,Jonas Esticado," Já doeu, mas hoje não dói mais. Tanto fiz que agora tanto faz. O nosso amor calejou. Apanhou, apanhou que cansou. Na minha cama cê fez tanta falta. Que o meu coração te expulsou. Não tem mais eu e você. Tá facin de entender. Você me deu aula de como aprender a te esquecer. Foi, mas não é mais a minha notificação preferida. Já foi, mas não é mais a número um da minha vida. Sinto em te dizer, mas eu já superei você. Foi, mas não é mais a minha notificação preferida. Já foi, mas não é mais a número um da minha vida. Sinto em te dizer, mas eu já superei você.  "
26,Sonhei Que Tava Me Casando,Wesley Safadão," Hoje é o dia que vai mudar a minha vida. Tô no altar e já vai começar. Violino tocando, a noiva do lado. Coração acelerado, aliança chegou. Igreja lotada, o padre perguntou. Tem alguém contra essa união aqui presente. Fale agora ou calese pra sempre. Eu olhei pra trás. Meus amigos chorando. Meus amores antigos, com pena, me olhando. Ainda bem. Caí da cama com o celular tocando. Sonhei que tava me casando e acordei no desespero. Vida de casado é boa, só perde pra de solteiro. Sonhei que tava me casando e acordei no desespero. A vida de casado é boa, só perde pra de solteiro. Sonhei que tava me casando e acordei no desespero. Vida de casado é boa, só perde pra de solteiro. Sonhei que tava me casando e acordei no desespero. A vida de casado é boa, só perde pra de solteiro. E tem alguém contra essa união aqui presente. Fale agora ou calese pra sempre. Eu olhei pra trás. Meus amigos chorando. Meus amores antigos, com pena, me olhando. Ainda bem. Caí da cama com o celular tocando. Sonhei que tava me casando e acordei no desespero. Vida de casado é boa, só perde pra de solteiro. Sonhei que tava me casando e acordei no desespero. A vida de casado é boa, só perde pra de solteiro. Sonhei que tava me casando e acordei no desespero. Vida de casado é boa, só perde pra de solteiro. Sonhei que tava me casando e acordei no desespero. A vida de casado é boa, só perde pra de solteiro.  "
27,Amor Falso (part. Aldair Playboy e Kevinho),Wesley Safadão," Abre o jogo, acabou. Pra quê esconder esse falso amor. Eu confiei, entreguei. Meu coração, e você machucou. Noite do meu lado. Fico aqui imaginando. Mas como pude cair. Nessa farsa de amor. E parabéns pra você. Que me fez entender. Que minha paixão não é você. Obrigado por demonstrar esse amor falso. E parabéns pra você. Que me fez entender. Que minha paixão não é você. Obrigado por demonstrar esse amor falso. Abre o jogo, acabou. Pra quê esconder esse falso amor. Eu confiei, entreguei. Meu coração logo se machucou. Noite do meu lado. Fico aqui imaginando. Mas como pude cair. Nessa farsa de amor. E parabéns pra você. Que me fez entender. Que minha paixão não é você. Obrigado por demonstrar esse amor falso. E parabéns pra você. Que me fez entender. Que minha paixão não é você. Obrigado por demonstrar esse amor falso. E parabéns pra você. Que me fez entender. Que minha paixão não é você. Obrigado por demonstrar esse amor falso. E parabéns pra você. Que me fez entender. Que minha paixão não é você. Obrigado por demonstrar esse amor falso.  "
28,Quero Sentir de Novo,Saia Rodada," Quero sentir de novo o calor do seu corpo colado no meu. Aquele beijo safado que um dia me deu. Tô com saudade até do cheiro daquele perfume que você usava. Dolce &amp Gabbana ou 212. Ficou impregnado dentro da minha casa. Mas o que eu posso fazer, se ela não quer mais me ver. Eu vou beber pra não chorar. E se eu chorar bebendo. Alguém avisa a ela que eu estou sofrendo. Sofrendo por amar. Alguém que já botou outro no meu lugar.  "
29,Contrário,Jonas Esticado," Pera ai Será que eu tô ouvindo oi. De quem se quer deixou eu falar nada. Bateu a porta forte na minha cara. Ué. Mas não foi você que falou que era eterno. Em uma semana já falava em tédio. Achou que terminar comigo era o remédio. Curtiu a liberdade de um fim de semana. Achando que ia me esquecer. Mas só ouvia cadê, cadê, cadê eu. Nessa hora o coração respondeu. Na minha porta o arrependimento bateu. Lembrou de quem te amava né Agora é tarde. Veio atrás de cafuné, bateu saudade. Fez tudo ao contrário pra me deixar mal. E o contrário de oi é tchau. Foi mal. Lembrou de quem te amava né Agora é tarde. Veio atrás de cafuné, bateu saudade. Fez tudo ao contrário pra me deixar mal. E o contrário de oi é tchau. Foi mal.  "
